workerid,proliferate.condition,age,asses,comments,education,enjoyment,fairprice,gender,language,problems,error
201,condition1,33,Yes,,4,1,,Male,English,,
125,condition1,43,Yes,,3,1,,Female,English,no,
39,condition1,68,Yes,,4,2,2.00,Male,English,no,
106,condition1,66,Yes,"Two sentences contain typos or misspellings, so I considered them unacceptable on that basis alone.",4,2,,Female,English,No,
254,condition1,26,Yes,,3,1,3$,Female,English,no,
204,condition1,30,Yes,,2,1,"
$2",Female,English,no,
176,condition1,50,Yes,,2,2,2.00,Female,english,no,
194,condition1,61,Yes,"None, thank you",1,2,yes could be more,Female,English,no,
43,condition1,35,Yes,,2,1,,Female,English,No,
36,condition1,24,Yes,,-1,-1,,Female,English,No,
237,condition1,35,Yes,,3,1,"Yes, 100%",Male,English,,
132,condition1,56,Yes,THANK YOU!  Good luck with your research.,2,2,3.00,Female,English,None that I noticed,
135,condition1,44,Yes,,3,2,yes,Female,English,no,
203,condition1,29,Yes,,3,1,what was advertised,Female,english,no problems,
185,condition1,20,Yes,,2,2,$2,Female,English,,
88,condition1,39,Yes,,2,2,1.00,Female,english,,
119,condition1,30,Yes,,1,1,,Female,English,,
193,condition1,21,Yes,N/A,1,1,$15 /hr,Female,English,No,
118,condition1,18,Yes,,2,2,$2,Male,English,,
100,condition1,52,Yes,,3,2,2.25,Male,English,,
73,condition1,69,Yes,There were hardly any partially good or bad sentences. Most were clearly fine of just wrong.,3,1,$2,Female,English,,
138,condition1,26,Yes,,2,1,4,Female,English,No issues that I could see,
220,condition1,25,Yes,,4,1,2.00,Female,English,No,
227,condition1,48,Yes,Nothing that stands out. Was clear and no issues.,2,1,1.25,Female,English,No issues,
69,condition1,24,Yes,,1,1,$2.00,Male,English,No,
51,condition1,32,Yes,,1,1,The posted amount.,Male,English,Nope,
253,condition1,29,Yes,,2,-1,,Female,English,,
83,condition1,38,Yes,,2,1,2.00,Female,English,,
109,condition1,47,Yes,Everything worked great,2,1,1.75,Male,English,No,
116,condition1,58,Yes,"I know the rules for either/both, but in some cases I think both 'is' or 'are' feel ok",3,1,$3.00,Other,English,,
79,condition1,42,Yes,,2,1,2.00,Female,english,,
199,condition1,67,Yes,It is interesting as I completely understand the fact that grammar does not have to be technically correct to be perfectly acceptable.  ,3,2,2.00,Female,English ,No,
195,condition1,34,Yes,,3,2,$2,Male,english,no,
55,condition1,29,Yes,none,2,1,1.50,Male,english,no,
129,condition1,33,Yes,,1,1,1.59,Male,English,no,
218,condition1,52,Yes,Thank you for having me take part in this experiment. ,2,2,Yes,Female,English,No there weren't any issues with the experiment.,
53,condition1,35,Yes,,2,2,$5,Female,English,No,
230,condition1,52,Yes,,2,1,2,Female,English,no,
20,condition1,40,Yes,,4,1,,Female,English,No,
208,condition1,47,Yes,,3,2,1.50,Female,english,no,
190,condition1,73,Yes,,4,0,3.00,Female,english,no,
207,condition1,27,Yes,,4,1,2 USD,Male,English,no,
101,condition1,23,Yes,,3,1,,Female,English,,
222,condition1,39,Yes,,3,2,$1.25,Female,English,,
181,condition1,50,Yes,,2,1,2.00,Female,english,no,
57,condition1,24,Yes,,3,2,1.5,Male,English,I experienced no problems.,
156,condition1,43,Yes,,3,1,$1.50,Male,English,No,
238,condition1,57,Yes,,3,1,,Female,English,no,
68,condition1,30,Yes,N/A,4,2,$2,Male,English,No.,
235,condition1,27,No,,2,2,1,Male,English,No,
62,condition1,32,Yes,none,2,1,$2.00,Male,english,no,
81,condition1,21,Yes,,1,2,yes,Male,English,,
150,condition1,34,Yes,,2,2,$250,Female,english,no,
240,condition1,31,Yes,Well put together experiment! I enjoyed it a lot.,2,2,$2,Female,English,"No, there weren't any problems or bugs in the experiment.",
104,condition1,37,Yes,,4,1,,Male,English,None,
236,condition1,56,Yes,I like tasks that involve language. ,2,2,1.25,Female,English,no,
142,condition1,21,Yes,,3,2,2,Female,English,no,
167,condition1,40,Yes,none,3,1,2 dollars,Female,english,no,
232,condition1,20,Yes,,2,1,$1.50,Female,English,no,
52,condition1,58,Yes,,3,1,1.50,Female,English,no issues,
205,condition1,37,Yes,"This task was interesting.  It reminds us that English is a complicated language, and the written rules are rigid in contrast to the way it's naturally spoken. ",2,2,$10.00,Female,English,No. ,
15,condition1,26,Yes,,4,2,.5,Female,English,,
85,condition1,58,Yes,Interesting study! Thank you!,3,2,1.75,Female,English,No,
244,condition1,22,Yes,,2,1,,Male,English,No,
86,condition1,33,Yes,,3,0,$5,Male,English,,
65,condition1,25,Yes,I had a hard time deciding what to do with passive voice sentences but did decide that they are generally acceptable in spoken (and often written) English. ,3,1,$1,Female,English,,
75,condition1,64,Yes,"Interesting survey, curious how most other participants did, and whether or not they are native English speakers.",2,2,2.50,Female,English,no,
96,condition1,52,Yes,,2,2,yes,Male,english,no,
50,condition1,36,Yes,,3,1,$2.00,Male,English,No,
29,condition1,44,Yes,,4,1,$2.00,Female,English,No,
40,condition1,60,Yes,,1,2,2.00,Female,,,
252,condition1,66,Yes,"I love the English language and I'm always interested in grammar, spelling, and proper sentence construction.  This was the most enjoyable study I've even taken.  Thank you.",1,2,$1.00,Female,English,No,
76,condition1,58,Yes,Go gently - dwell in beauty.,2,2,,Male,English,,
166,condition1,38,Yes,Interesting study. Thanks!,1,2,1.59,Female,English,No problems or bugs. ,
98,condition1,23,Yes,,3,1,,Female,,,
242,condition1,32,Yes,,2,2,very,Male,english,no,
77,condition1,25,Yes,,2,1,$1.50,Female,english,no,
245,condition1,51,Yes,,3,1,2.00,Male,English,No problems!,
94,condition1,50,Yes,nice study,4,1,2,Female,english,no,
91,condition1,37,Yes,,2,0,100000,Male,English,No,
174,condition1,22,Yes,,1,2,1. 70,Male,english,,
228,condition1,34,Yes,,3,1,5.00,Male,English,no,
200,condition1,26,Yes,,3,1,$2,Male,English,no,
34,condition1,24,No,,3,2,3.00,Female,English,n/a,
92,condition1,55,Yes,,2,1,yes,Female,English,no,
206,condition1,30,Yes,,1,2,Yes,Female,English,"There was one typo in one of the sentences for the word ""writing""",
72,condition1,31,Yes,,3,1,$2.00,Male,English,No.,
113,condition1,47,Yes,,2,2,2,Male,English,No,
169,condition1,21,Yes,,1,2,yes,Other,,no,
255,condition1,21,Yes,,3,2,,Female,English,,
107,condition1,29,Yes,was fine. thanks,3,1,3.00,Female,english,no problems,
241,condition1,34,Yes,,4,2,$1.50,Female,English,None,
28,condition1,31,Yes,,1,2,2.00,Female,english,no,
123,condition1,33,Yes,,1,1,"Not as much as id like, but not horrible",Male,English ,,
74,condition1,22,Yes,,1,1,$4.00,Male,English,No,
61,condition1,25,Yes,,4,1,$1.50,Female,English,n/a,
177,condition1,32,Yes,,2,1,2,Male,English,no,
239,condition1,,Yes,,3,2,2.00,Female,english,,
127,condition1,21,Yes,"Accidentally rated 1 sentence in the middle when it was clearly broken english, it was a miss-click.",1,1,$3-$5,Male,English,,
246,condition1,30,Yes,,3,1,i think so ,Male,English,no,
159,condition1,72,Yes,,4,2,"

2.50",,English,None that I could discern,
251,condition1,31,Yes,,3,1,1.59,Male,English,None,
30,condition1,,,,-1,-1,,,,,
59,condition1,67,Yes,,3,2,,Female,,,
210,condition1,21,Yes,N/A,3,2,As listed,Female,English,No,
147,condition1,57,Yes,,-1,2,1.00,Female,English ,No,
183,condition1,65,Yes,,3,0,$5,Male,English,no,
26,condition1,33,Yes,no,3,1,$2,Female,English,no,
103,condition1,60,Yes,,3,1,Yes,Female,English,No,
187,condition1,28,Yes,,4,1,,Female,English,,
158,condition1,30,Yes,,1,2,$1.50,Male,English,No,
97,condition1,21,Yes,,1,2,$2,Male,English,N/A,
175,condition1,26,Yes,,2,1,14 British Pounds,Male,English,No problems were experienced. ,
243,condition1,23,Yes,,3,1,1,Female,English,no,
32,condition1,26,Yes,,4,1,$1.00,Female,English,,
256,condition1,34,Yes,,3,2,2.00,Male,English,None.,
248,condition1,43,Yes,,3,1,ok,Female,English,No,
112,condition1,30,Yes,,0,1,2.00,Female,English,No problems or bugs. ,
224,condition1,33,Yes,,2,2,$2.00,Female,English,No,
45,condition1,34,Yes,None,4,1,2,Male,English,None,
217,condition1,40,Yes,none,3,1,2.00,Male,english,no,
47,condition1,29,Yes,none,3,1,$2,Male,English,n,
165,condition1,35,Yes,it went well,3,2,3,Female,english,no,
141,condition1,34,Yes,,1,2,2.00,Male,English,,
137,condition1,51,Yes,,3,2,1.59,Male,English,no,
215,condition1,27,Yes,,2,1,$2,Other,English,,
257,condition1,30,Yes,,3,2,$2,Female,english,No,
168,condition1,53,Yes,Thanks,2,1,$17/Hour,Male,English,No,
221,condition1,25,Yes,,1,2,$5,Male,,,
41,condition1,27,Yes,,3,1,1.39,Other,English,no,
102,condition1,21,Yes,,2,1,$2,Female,English,No,
25,condition1,32,Yes,,1,2,$2,Female,English,No,
24,condition1,32,Yes,,2,1,$2,Female,English,no,
44,condition1,31,Yes,,3,2,$1.96,Male,English,No.,
17,condition1,50,Yes,,3,2,2$,Female,English,,
213,condition1,29,Yes,,0,1,2.00,Female,english,no,
145,condition1,47,Yes,,4,1,,Male,English,,
139,condition1,41,Yes,"Thank you for allowing me to participate in this very interesting task, i hope you have a wonderful evening",1,2,3.00,Female,english,No,
191,condition1,59,Yes,,3,2,$2,Other,English,no,
233,condition1,48,Yes,,3,2,2,Male,English,no,
66,condition1,52,Yes,,3,2,2.00,Female,English,No,
180,condition1,35,Yes,No comments,3,1,2.00,Female,English,None that I noticed,
108,condition1,31,Yes,,2,2,3.00,Male,English,,
171,condition1,41,Yes,Thank You,1,2,1.75,Female,English,no,
155,condition1,58,Yes,,3,1,1.50,Female,English,no,
234,condition1,50,Yes,none,3,2,10,Female,english,no,
49,condition1,30,Yes,,2,1,$2.00,Male,English,No issues,
130,condition1,21,Yes,,2,2,$2.00,Female,English,No,
223,condition1,33,Yes,,3,2,1.50,Female,english,none,
229,condition1,38,Yes,it was fun,1,2,1.00,Female,english,no,
111,condition1,32,Yes,N/A,2,2,Whatever is being paid,Female,English,N/A,
22,condition1,214,No,,1,1,$2,Male,English,,
154,condition1,60,Yes,,2,2,1.59,Female,English,No,
189,condition1,33,Yes,I enjoyed this.  Although I felt like I was judging more harshly as the experiment continued.,4,2,1,Female,English,no,
110,condition1,48,Yes,,3,2,,Male,English,none,
71,condition1,45,Yes,,3,1,2.50,Female,English,,
170,condition1,48,Yes,,3,1,maybe,Female,English,no,
80,condition1,49,Yes,Good luck with your study!,3,2,2.00,Female,English,no,
16,condition1,43,Yes,thank you,2,1,2.00,Female,English,no,
60,condition1,25,Yes,It made me remember the complications of the English language.,2,2,Â£1.59,Male,English,No!,
151,condition1,23,Yes,I have no further comments.,2,2,$1,Male,English,No,
105,condition1,42,Yes,,4,1,$2.00,Female,English,,
226,condition1,29,Yes,No comments ,3,2,$2.00,Male,English,No problems,
161,condition1,59,Yes,,2,2,1.40,Female,English,N/A,
148,condition1,26,Yes,,4,1,sure,Other,English,no,
99,condition1,31,Yes,,3,1,$10.00,Female,english,no,
225,condition1,31,Yes,,4,1,,Male,English,No,
160,condition1,37,Yes,,3,1,$2,Female,English,,
82,condition1,39,Yes,n/a,3,0,4 dollars,Male,English,no,
37,condition1,29,Yes,,2,1,2.50,Male,English,,
163,condition1,37,Yes,"Everything was clear and understood, thank you.",1,2,2.15 USD,Male,English,No,
209,condition1,47,Yes,No,3,1,2.00,Male,English,no,
78,condition1,40,Yes,,2,1,?,Female,English ,No,
146,condition1,44,Yes,,2,-1,2.00,Male,English,No,
172,condition1,48,Yes,interesting task,4,2,2.00,Female,english,none,
162,condition1,30,Yes,N/A,4,1,$5,Male,English,No.,
216,condition1,29,Yes,,3,1,$4,Female,English,No,
179,condition1,38,Yes,,2,1,This pay is fine,Female,English,No problems,
58,condition1,29,Yes,,3,2,1.00,Male,ENglish,,
120,condition1,21,Yes,,2,2,1.5,Female,English,no,
35,condition1,29,Yes,,1,2,2.00,Female,English,No.,
186,condition1,34,Yes,,3,1,$2.00,Male,English,,
247,condition1,30,Yes,,3,1,,Male,English,,
46,condition1,24,Yes,"It would be nice to see how many sentences there are, so I can keep track for next time.",3,1,$2,Male,English,No,
126,condition1,27,Yes,,4,1,1.00,Male,English,No problems,
89,condition1,39,Yes,,3,2,1.25,Female,english,No.,
128,condition1,53,Yes,,3,1,,Male,english,,
144,condition1,43,Yes,"I need to look up rules about is/are when it's an either statement including multiple groups, some of which may include a collective, whereas others may be a single person. I know I didn't apply any such rules consistently here, not that I was supposed to be thinking about rules.",4,2,2.00,Male,English,no,
27,condition1,64,Yes,,1,1,,Female,English,No,
209,condition1,44,Yes,,3,1,3.00,Male,English,,
70,condition1,41,Yes,,2,2,2.00,Female,English,,
31,condition1,28,Yes,,4,1,$2,Male,English,n/a,
19,condition1,25,Yes,,1,2,the price listed,Male,english,no,
153,condition1,36,Yes,,4,1,2,Male,ENGLISH,NO,
21,condition1,19,Yes,,2,1,1.59,Male,English,,
63,condition1,49,Yes,,3,1,5.00,Female,English,no,
192,condition1,30,No,,1,1,N/A,Male,English,,
134,condition1,37,Yes,no comments,1,1,1.59,Male,English,No,
38,condition1,25,Yes,"It was a fun task, would love to do more in the future",1,2,around $2,Male,English,,
64,condition1,19,Yes,,2,1,$3,Female,English,no,
133,condition1,53,Yes,"I enjoyed this experiment very much. It was not too long, so thank you. ",2,2,Whatever the agreed price is.,Female,English,No,
56,condition1,37,Yes,Thank you!,3,2,2.00,Male,English,No,
219,condition1,34,Yes,,2,1,2.50,Male,English,,
182,condition1,19,Yes,Enjoyed this study.,2,2,Yes,Male,English ,No,
212,condition1,54,Yes,,2,1,$3.00,Male,English,no,
250,condition1,33,Yes,,3,1,$2,Female,English,NO,
67,condition1,53,Yes,none at this time,3,1,2.00,Male,English,none,
197,condition1,25,Yes,,2,1,$3.00,Female,English,,
143,condition1,23,Yes,,3,1,1,Female,English,,
23,condition1,61,Yes,None,3,1,$1,Female,English,No,
249,condition1,30,Yes,,3,1,$2,Female,English,No,
117,condition1,25,Yes,,1,1,$2,Male,English,No,
87,condition1,59,Yes,,4,1,$2.00,Female,English,no,
115,condition1,67,Yes,"It was a fun little study, I enjoyed it.",3,2,3.00,Female,English,None,
48,condition1,25,Yes,,2,1,Fair enough,Male,English,No,
152,condition1,56,Yes,,3,2,1.25,Female,English,none,
184,condition1,43,Yes,It would be interesting to see how people respond to reading these sentences vs hearing them spoken. ,3,2,.75,Female,english,none,
136,condition1,52,Yes,,3,2,5.00,Female,English,There were some spelling errors.,
173,condition1,34,Yes,,2,1,1.50,Female,English,No,
211,condition1,66,Yes,,2,1,1.23,Female,English,,
42,condition1,22,Yes,,3,2,1.50,Female,English,No,
114,condition1,20,Yes,,2,1,$2.50,Male,English,no,
131,condition1,48,Yes,,2,1,.50,Male,English,no,
149,condition1,62,Yes,,3,2,1.50,Female,English,,
84,condition1,47,Yes,,3,2,2,Female,English,None,
188,condition1,54,Yes,,1,1,5,Male,English,No,
33,condition1,34,Yes,,2,2,1.50,Female,English,No,
198,condition1,74,Yes,IT WAS STRAIGHT FORWARD.,3,2,1.00,Male,ENGLISH,NONE,
121,condition1,25,Yes,Thank you!,2,2,$2,Male,English,nope,
196,condition1,44,Yes,none right now,2,2,2,Male,English,no,
124,condition1,39,Yes,,2,1,1.50,Female,English,no,
164,condition1,37,Yes,,3,1,2.00,Male,English,no,
231,condition1,27,Yes,,1,2,$1.50,Female,English,No,
54,condition1,24,Yes,,2,1,2.25,Female,English,,
90,condition1,44,Yes,,3,1,3.50,Female,English,No,
214,condition1,66,Yes,"It was interesting, though not that challenging.",2,2,$2.00,Female,English,No.,
202,condition1,30,Yes,,3,2,,Female,English,no,
95,condition1,30,Yes,"Simple, easy, and loved the progress bar. I dislike studies without a progress bar.",1,2,$2,Male,English,No,
93,condition1,37,Yes,,2,1,$2,Male,English,No,
140,condition1,35,Yes,Good luck with your research! :),1,1,1.25 USD,Male,English,No issues.,
